species,habitat_1,habitat_2,habitat_3,habitat_4,range,insectivore,riparian_obligate_breeding
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Western Meadowlark,,,,,,,
Dusky Flycatcher,,,,,,,
Black Phoebe,,,,,,,
Yellow-breasted Chat,,,,,,,
Mountain Bluebird,,,,,,,
Lesser Goldfinch,,,,,,,
Red-shouldered Hawk,,,,,,,
Western Screech-Owl,,,,,,,
Cassin's Finch,,,,,,,
Western Bluebird,,,,,,,
Clark's Nutcracker,,,,,,,
Blue Grosbeak,,,,,,,
Gray Catbird,,,,,,,
Lark Sparrow,,,,,,,
Least Flycatcher,,,,,,,
Northern Pygmy-Owl,,,,,,,
Chukar,,,,,,,
Swainson's Hawk,,,,,,,
Palm Warbler,,,,,,,
Gray Flycatcher,,,,,,,
Ruffed Grouse,,,,,,,
Ash-throated Flycatcher,,,,,,,
Brewer's Sparrow,,,,,,,
Pine Grosbeak,,,,,,,
